"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"STRN4",1,5,0,4,3,7,0,3,3,0,0,5,0,0,14,0,2,3,3,1,3,2,6,4,7,4,8,1,11,8,10,0,1,1,3,2,2,1,0,1,1,1,6,2,2,7,5,4,4,1,4,3,2,13,6,5,2,5,5,1,2,8,11,4,5,2,3,3,3,3,16,14,11,3,3,4,6,8,0,9,8,4,9,25,3,4,8,1,2,8,9,12,0
"ZNF384",3,3,1,2,1,1,0,0,2,0,1,4,0,1,4,1,0,2,3,4,2,0,2,1,5,2,10,2,2,6,5,0,0,6,3,3,0,1,2,2,4,1,6,0,5,0,0,6,1,2,1,3,6,7,3,1,3,2,10,5,4,6,6,3,8,0,0,6,1,5,6,7,16,1,6,3,4,10,3,11,4,2,6,10,5,7,4,6,8,11,7,2,1
"FAM3C",6,9,3,6,1,2,5,3,3,2,10,9,3,5,7,1,1,6,1,3,2,2,11,3,9,8,20,9,10,18,25,3,1,5,21,9,4,1,10,10,9,8,12,2,14,2,10,15,3,2,6,6,15,35,16,9,12,11,7,5,12,13,28,22,13,13,5,6,3,12,20,16,30,5,6,3,14,12,7,15,11,4,8,10,15,11,11,6,11,14,13,9,2
"CD53",6,6,2,4,2,2,2,0,4,0,4,1,2,2,1,0,1,4,0,0,5,8,4,9,12,8,15,3,8,5,7,4,0,5,8,6,2,2,34,9,19,9,17,2,6,4,3,32,10,9,8,7,16,28,32,3,32,8,8,9,21,15,9,41,9,34,11,5,10,17,31,12,5,11,9,19,11,11,13,3,29,14,22,16,24,8,10,2,14,18,14,23,3
"MAPK3",0,1,2,1,0,1,6,0,2,1,2,6,0,1,1,2,2,0,1,2,0,0,2,1,3,2,5,1,9,2,9,0,3,3,8,3,2,1,1,3,6,1,5,3,4,3,1,3,2,2,4,4,4,11,5,3,3,6,1,2,1,3,9,4,6,4,2,2,0,4,4,4,13,1,5,3,6,10,2,2,4,1,10,6,6,3,1,3,5,4,9,3,0
"ARAP1",2,0,3,1,2,0,2,0,1,1,4,1,2,3,1,2,2,6,0,2,0,1,2,5,2,5,10,4,11,2,6,1,1,3,6,2,0,0,2,2,5,0,8,3,5,2,5,3,1,4,1,2,12,14,6,4,4,2,3,5,5,1,10,4,5,4,1,4,6,3,6,8,2,4,5,2,6,4,2,8,5,6,10,8,8,7,4,3,3,13,4,1,2
"PEG10",0,0,0,2,1,1,7,0,0,0,2,5,2,1,6,1,1,1,0,0,21,0,14,0,139,0,26,17,2,223,2,2,0,1,1,56,13,1,0,0,2,4,3,5,7,0,6,2,2,0,2,1,3,9,0,1,5,0,0,0,3,1,5,5,8,3,0,3,1,2,30,4,315,1,3,1,3,129,1,3,1,3,16,0,5,3,1,2,0,4,12,3,0
"CLDND1",0,1,0,2,1,1,5,0,3,1,3,2,1,0,0,2,0,2,0,1,1,1,2,3,11,5,11,2,1,4,11,2,1,0,8,6,2,1,7,2,2,3,6,3,3,4,2,7,3,6,6,9,7,13,8,2,7,3,4,1,4,8,8,9,4,12,3,1,3,2,7,12,21,3,4,1,5,55,4,2,2,5,8,5,12,6,5,1,3,10,2,7,4
"COA3",2,1,2,0,2,0,6,1,2,1,3,1,2,1,3,2,2,3,1,1,2,0,2,2,9,6,13,4,5,17,18,2,0,4,5,5,1,0,4,4,3,0,7,1,6,3,4,7,1,5,0,2,10,24,4,1,8,5,4,2,2,5,19,9,3,7,2,1,1,8,12,6,35,5,7,0,6,14,7,3,3,1,12,5,4,4,5,1,3,16,4,2,1
"MAPK8IP3",4,4,0,1,1,1,1,0,3,1,2,2,0,1,0,0,0,1,0,2,0,3,0,0,1,2,4,2,2,4,11,0,0,4,4,0,1,1,1,1,3,2,5,1,5,5,2,6,1,4,0,0,11,18,7,2,3,0,7,0,2,1,6,7,4,3,6,3,1,5,5,4,16,3,2,2,6,3,1,2,8,3,6,8,14,5,2,4,2,8,3,4,1
"PHF11",4,5,0,2,1,0,2,1,4,2,4,8,1,1,2,1,3,3,0,3,3,2,6,4,5,3,19,1,8,2,4,1,5,8,2,1,0,1,6,5,8,3,8,0,5,2,4,10,5,3,4,2,7,24,6,3,7,12,8,4,6,3,15,8,1,13,5,5,5,3,13,10,11,8,5,6,7,8,4,8,5,7,9,22,15,2,7,1,1,9,2,10,4
"SIDT2",5,2,3,1,2,3,1,0,1,1,2,2,2,3,1,1,1,1,0,1,1,1,0,5,4,5,4,1,5,4,5,0,1,5,2,4,1,0,1,5,4,0,7,1,5,5,5,5,4,2,1,3,9,13,11,3,4,8,3,2,7,1,8,9,2,7,4,4,2,9,10,10,22,2,6,3,4,8,3,3,7,8,2,4,10,6,3,0,3,3,7,2,5
"RHBDD2",3,7,1,2,0,3,1,0,2,1,4,6,1,1,12,1,0,3,1,2,0,1,3,3,11,1,14,1,3,11,12,2,1,2,9,6,2,3,8,4,3,3,8,4,4,5,3,3,3,4,1,3,14,32,5,2,2,17,4,4,2,4,27,8,3,8,3,1,1,7,6,7,16,4,5,1,4,14,2,6,4,4,9,12,5,1,5,5,2,14,6,6,1
"ERAP1",3,1,1,3,0,1,1,0,2,2,3,6,0,2,2,1,1,4,0,0,3,0,1,2,4,1,15,0,2,7,5,1,1,0,2,5,1,0,2,4,5,3,5,3,3,4,4,5,8,0,2,1,6,9,9,1,8,5,3,1,2,3,16,5,8,5,2,6,1,3,4,3,3,1,1,2,1,3,4,3,5,7,2,2,6,2,2,2,4,9,5,4,1
"CRCP",2,3,1,1,3,4,0,1,5,2,3,15,1,3,4,3,1,5,5,2,5,1,0,3,13,4,10,5,2,6,22,1,2,3,5,2,1,1,3,3,2,4,9,2,8,10,8,11,2,2,4,0,5,17,5,2,8,20,8,1,2,5,18,7,7,12,2,6,4,4,11,13,24,2,10,3,2,29,5,6,7,7,6,18,8,4,6,3,7,9,11,7,1
"ACP1",4,2,1,1,0,1,0,1,1,0,4,7,1,2,5,4,1,1,0,2,1,1,2,2,9,2,7,5,6,7,7,0,1,2,11,3,0,2,1,6,5,2,9,3,9,6,5,7,6,5,10,3,15,10,7,3,3,10,2,2,2,7,21,17,6,2,4,6,3,2,8,3,18,0,6,3,8,23,2,11,7,5,8,12,3,5,11,7,8,12,3,8,3
"GAGE1",1,1,3,4,3,0,6,1,1,6,1,6,1,1,0,3,13,2,0,5,1,4,2,2,4,5,2,5,0,2,7,2,0,2,5,2,1,0,1,2,2,2,12,6,5,2,3,6,3,3,3,1,14,28,6,5,5,2,2,2,7,2,20,10,6,4,5,2,7,3,7,3,9,5,1,0,12,7,5,4,12,3,3,6,7,5,5,5,4,14,5,12,0
"RALGDS",1,2,1,3,2,3,2,2,3,3,1,7,0,2,1,0,0,3,1,2,2,0,2,5,22,11,4,2,2,19,14,1,2,1,16,7,0,2,5,5,5,3,3,6,5,12,5,7,3,6,4,2,14,16,8,3,6,4,6,3,7,7,14,5,9,9,4,5,4,3,9,12,16,5,11,5,8,9,6,5,5,6,8,9,9,3,3,3,3,11,3,7,3
"NAAA",3,0,2,3,1,0,0,3,1,0,2,3,1,1,1,0,0,0,0,0,3,0,3,3,9,2,8,1,1,12,3,2,1,6,1,5,0,1,4,5,7,2,3,1,3,0,2,4,4,4,1,5,3,9,14,3,5,4,3,2,4,2,14,8,3,3,4,3,2,2,6,6,7,1,6,1,0,13,2,4,5,1,5,7,3,2,3,3,3,3,3,3,0
"CEP170",1,4,0,0,2,1,0,0,4,0,0,4,0,2,1,2,1,2,0,0,2,1,0,1,2,2,7,1,1,7,4,1,0,5,7,3,0,1,7,2,5,0,9,1,0,10,2,2,0,2,1,2,2,15,0,6,3,5,5,3,4,1,6,7,3,2,0,5,2,6,10,8,3,2,5,3,8,6,1,1,5,1,1,9,6,3,2,1,2,6,4,7,2
"CAST",6,3,2,4,1,4,0,0,2,2,7,5,0,3,1,1,1,2,1,0,1,1,0,8,4,7,11,2,9,8,17,2,2,4,9,4,2,2,6,2,4,2,9,5,8,9,6,5,7,3,3,2,12,25,12,4,9,13,6,5,9,4,9,31,7,6,5,1,2,10,15,7,13,4,4,7,7,17,4,5,8,5,9,22,8,7,13,3,4,7,10,4,1
"SUMF2",1,2,2,0,0,0,5,1,4,1,5,3,1,0,1,2,0,0,0,1,0,1,1,1,28,0,7,0,6,39,3,1,1,0,1,15,1,1,8,3,3,6,12,1,8,7,4,7,5,3,5,2,12,9,12,3,6,8,1,1,1,1,24,13,3,7,5,1,1,7,12,5,9,2,6,2,8,26,3,6,8,4,8,7,7,3,2,2,1,7,6,8,2
"GSDMB",8,1,0,1,7,10,0,4,0,0,4,34,0,1,20,0,2,2,4,2,5,0,1,4,1,3,17,1,2,1,6,1,1,4,2,0,3,3,0,2,0,1,2,3,3,2,1,2,5,3,3,5,1,10,0,2,4,3,4,2,0,4,9,5,3,6,0,1,0,1,3,9,8,1,2,0,4,19,1,4,1,4,13,18,4,1,0,2,5,1,4,2,1
"NCBP2",10,3,4,1,2,1,8,2,1,6,3,10,2,2,5,5,4,4,2,3,2,4,8,5,33,11,17,8,9,39,31,2,2,3,14,17,6,1,11,1,5,7,17,5,15,6,12,10,9,7,2,3,30,31,8,4,15,11,9,4,9,14,41,15,10,9,7,6,2,8,16,13,70,4,8,12,14,21,5,11,8,5,22,13,6,10,8,7,2,10,16,6,2
"EIF4G2",9,27,9,15,21,27,19,4,16,4,28,51,5,7,38,6,12,10,21,8,16,10,28,18,65,35,123,28,30,90,92,16,9,16,33,39,10,22,24,21,29,15,41,4,25,34,27,77,26,17,13,35,57,70,52,28,55,56,38,20,29,34,78,77,47,50,24,18,17,41,106,91,192,13,38,40,41,120,32,24,30,21,79,60,53,38,64,31,38,58,68,25,13
"CHD2",2,2,2,4,3,5,1,1,3,1,2,6,3,1,1,2,1,3,1,2,1,1,5,0,5,4,6,1,7,7,9,3,0,6,6,4,2,0,5,3,2,2,1,1,5,4,6,4,1,4,3,4,13,17,11,2,10,12,2,2,1,7,8,6,6,7,1,4,6,8,7,8,14,3,7,5,14,14,8,10,11,2,3,9,6,5,5,7,5,11,4,2,2
"KDM5A",2,4,1,0,1,2,0,0,1,0,5,4,1,1,1,1,2,3,2,1,3,1,2,3,6,2,7,11,2,3,7,0,1,4,6,6,2,2,6,5,2,4,5,0,3,5,6,4,4,1,6,3,4,18,6,12,4,7,2,9,2,1,11,11,9,6,4,9,2,8,10,10,10,1,4,1,10,11,5,7,8,5,12,12,10,6,2,7,8,3,10,6,4
"NECTIN2",2,9,0,3,1,9,4,1,5,1,3,9,2,0,8,4,0,2,1,0,3,1,5,3,2,6,6,4,6,5,37,1,1,3,19,3,1,3,0,0,6,0,9,3,13,11,2,1,5,0,2,2,21,31,4,2,4,15,7,6,6,4,30,10,5,3,2,4,6,10,13,18,65,5,2,9,9,14,4,11,8,2,15,10,11,9,13,5,5,14,11,2,1
"STAG2",1,2,0,5,0,0,3,1,3,0,2,5,0,2,3,3,2,1,1,2,0,1,3,5,13,2,7,0,3,15,15,1,0,5,5,3,1,2,7,5,5,5,7,0,7,4,3,11,4,1,1,3,8,7,10,1,7,7,6,3,2,4,19,6,8,6,4,4,0,4,15,7,44,1,7,1,8,18,3,7,3,5,12,10,10,6,2,2,5,5,4,1,0
"TPM3",6,8,2,3,2,9,10,3,4,0,11,11,4,6,9,6,3,6,3,6,7,1,9,7,21,22,24,9,18,28,77,3,1,10,26,12,1,4,8,6,10,6,13,5,7,30,6,15,7,7,6,7,34,48,21,8,17,30,24,10,14,8,40,44,15,15,8,8,10,8,30,25,58,11,23,9,19,45,4,21,19,4,22,37,33,18,17,14,17,20,16,18,4
"SLA",2,3,2,3,1,0,1,2,3,1,1,3,2,1,0,2,2,3,0,2,1,3,1,4,2,0,5,1,2,4,3,1,2,4,0,3,2,2,12,4,6,5,14,3,9,3,2,12,6,5,7,0,15,30,11,4,8,3,5,5,11,9,7,19,5,22,11,6,8,6,15,6,2,3,4,3,6,3,3,4,13,10,5,16,31,4,2,0,6,9,3,15,1
"SLC12A2",14,1,0,0,1,4,1,6,3,0,3,8,2,0,15,0,0,1,2,2,3,0,2,1,10,18,19,1,0,29,53,1,1,4,28,6,2,1,0,3,0,1,4,5,1,8,3,2,1,2,0,1,12,4,2,2,1,13,1,3,1,0,9,3,0,2,3,1,1,8,41,6,42,4,2,13,1,4,4,3,4,0,17,2,9,3,12,2,2,7,6,1,1
"CLCC1",2,2,1,2,1,2,4,2,2,4,2,5,3,2,0,3,2,1,2,2,0,0,1,2,4,1,8,3,2,8,10,1,3,1,7,4,1,1,3,1,3,8,6,2,4,5,7,14,2,3,5,4,8,19,5,2,9,5,3,4,2,5,6,12,5,7,6,3,2,3,11,8,4,2,5,2,5,11,4,5,5,0,6,9,4,7,4,5,6,0,4,3,2
"DBNDD2",6,1,2,2,3,1,12,3,0,1,5,4,1,1,2,0,2,0,3,0,1,3,0,2,13,9,6,0,2,19,59,6,0,5,8,4,2,1,6,2,5,2,4,0,10,6,7,3,4,5,2,3,9,19,5,4,5,10,4,2,6,2,23,13,9,5,4,2,4,11,14,10,8,6,9,2,6,26,2,3,5,2,9,7,18,9,5,5,3,15,12,4,6
"UBL5",8,7,3,3,4,6,3,1,3,5,10,21,1,2,11,1,3,2,8,4,4,5,7,7,21,17,26,1,7,24,55,2,1,2,23,12,5,6,5,6,7,2,10,1,12,10,9,21,8,13,7,3,29,30,19,11,16,26,9,7,4,2,44,22,15,12,5,5,5,13,52,23,63,6,16,6,8,46,6,18,10,7,19,24,15,4,17,9,15,20,16,6,5
"SMIM15",7,5,0,1,2,6,6,0,1,0,3,7,2,1,3,2,2,2,2,3,2,3,3,0,9,9,9,2,3,11,22,3,2,2,11,4,0,2,1,3,2,5,3,1,3,14,4,5,2,1,3,2,14,11,9,1,11,11,4,3,7,2,13,20,2,5,3,3,1,3,14,15,25,1,7,6,14,24,3,8,9,3,9,21,9,4,6,12,5,9,12,8,1
"TKT",6,4,1,2,1,4,6,2,0,1,1,11,0,2,2,0,0,1,3,0,1,2,3,2,13,3,8,6,4,17,11,3,1,4,4,6,5,0,4,1,2,10,6,2,6,3,4,10,3,10,0,2,7,29,6,3,10,4,5,2,6,6,14,14,8,10,3,7,1,6,29,16,16,9,15,3,5,29,3,14,9,9,9,28,19,22,7,2,9,4,9,8,4
"TNFRSF1A",2,1,3,2,2,2,2,1,4,2,5,0,2,5,0,3,1,1,0,2,1,2,4,2,5,6,13,2,7,4,10,1,2,1,4,2,1,4,6,3,2,4,14,2,6,0,3,4,4,7,4,3,8,17,9,3,4,4,4,3,7,7,6,10,6,8,3,3,7,3,13,12,11,6,4,4,6,10,4,8,6,6,10,10,4,9,4,8,3,13,5,7,3
"TNFRSF1B",2,2,3,2,1,0,1,1,3,0,2,0,1,1,1,1,1,2,1,0,2,0,0,3,4,1,9,1,10,3,6,3,1,3,5,5,1,1,10,5,5,3,13,2,4,2,3,9,11,3,5,3,7,15,14,3,5,2,3,6,15,12,4,9,5,19,5,4,3,11,5,7,4,3,7,2,3,4,4,5,13,10,7,4,8,10,1,4,1,6,7,14,1
"TOP2A",3,8,0,1,2,0,2,0,3,0,0,2,1,2,1,0,0,2,1,0,0,3,2,1,9,7,3,5,4,8,16,0,1,0,10,0,2,0,5,0,4,2,2,1,3,5,2,5,1,2,1,1,1,11,2,2,10,2,4,0,2,2,2,6,14,8,2,3,3,2,15,2,18,0,24,4,4,5,1,2,12,1,3,7,9,9,2,6,4,9,3,4,3
"TOP2B",1,1,0,0,3,4,3,2,0,0,2,5,1,3,6,2,0,1,1,1,2,4,1,4,10,7,5,1,1,13,24,4,1,5,10,6,1,1,7,7,8,2,8,2,4,9,0,16,5,8,6,3,13,15,8,3,11,14,5,5,3,5,14,13,15,9,4,6,7,3,11,13,47,4,10,5,5,16,4,3,5,5,15,9,6,9,3,10,8,5,8,9,1
"MZT1",1,1,1,1,0,4,3,2,0,0,4,4,0,0,1,1,2,1,2,0,2,0,0,1,9,6,8,2,2,9,11,0,1,1,7,6,2,3,0,2,4,3,4,2,4,2,4,5,2,0,3,3,10,13,5,5,9,5,5,0,1,1,11,14,5,6,1,5,3,3,8,1,32,1,7,0,4,18,2,3,8,1,1,12,5,7,2,3,5,12,4,6,0
"ZNF391",3,0,2,0,0,1,1,0,3,4,2,7,0,2,2,1,1,2,1,2,1,0,3,2,7,8,7,3,6,4,21,2,0,4,8,6,3,1,2,0,3,3,3,0,5,7,1,3,1,4,0,2,4,12,4,1,3,3,2,2,1,3,9,5,8,4,6,4,7,8,8,12,17,3,7,1,7,10,4,7,6,2,8,14,5,5,2,8,7,5,3,6,0
"QSER1",1,1,1,3,1,1,3,1,1,0,1,6,0,1,2,2,1,2,0,1,0,1,1,3,10,40,15,7,6,12,77,4,2,0,40,3,1,1,2,1,4,4,4,0,3,7,5,8,3,4,2,3,5,15,12,4,10,4,3,3,4,3,13,9,8,9,4,6,1,4,8,9,27,4,6,4,1,10,4,9,10,2,16,2,7,2,5,6,7,11,6,1,4
"METTL9",8,6,1,4,3,3,3,2,7,2,3,15,0,109,2,4,1,6,4,0,2,0,8,2,14,12,18,15,7,26,28,3,2,5,15,11,2,4,6,8,13,5,13,6,3,7,4,16,9,8,5,10,15,13,12,6,21,10,13,6,7,9,25,19,10,13,7,13,5,9,18,19,73,2,13,9,13,31,12,19,12,6,23,19,12,9,10,13,13,11,20,15,6
"ZNF436",2,2,1,2,2,3,0,1,2,1,2,1,0,1,0,0,1,0,0,2,3,1,5,1,0,2,5,1,4,5,7,2,0,1,5,1,2,0,0,7,1,2,8,1,3,5,0,4,4,6,0,4,4,10,2,4,2,5,3,5,2,1,5,7,5,6,1,1,6,2,7,7,10,2,3,1,5,2,1,4,8,17,8,11,3,1,0,4,4,4,4,7,1
"UBXN11",2,2,3,1,2,0,0,3,0,0,4,5,4,3,4,0,0,60,1,2,1,1,3,4,17,6,13,4,4,7,16,0,2,4,11,6,2,5,2,5,2,3,10,1,9,9,3,5,4,7,5,4,6,33,5,6,7,9,5,4,2,5,8,7,7,7,2,5,98,1,10,8,14,3,21,2,7,4,1,4,8,3,9,15,9,6,0,8,2,11,7,3,4
"WIPF1",5,0,1,3,1,2,1,2,1,0,5,5,4,5,2,3,0,1,0,1,3,1,3,13,3,4,19,4,7,5,6,6,2,2,1,6,1,3,18,13,13,11,13,3,7,9,2,27,12,7,18,3,20,18,32,7,34,7,13,3,16,9,7,41,7,31,9,5,10,9,10,9,6,9,10,3,12,16,3,3,20,7,12,5,20,7,6,4,13,11,18,26,1
"BCLAF1",2,4,1,2,3,1,3,1,2,1,6,11,2,2,4,2,0,1,1,1,2,2,3,2,14,5,13,3,4,19,15,1,2,7,8,9,2,1,7,4,3,0,13,2,10,4,9,10,2,5,5,4,15,26,8,9,15,10,10,3,6,2,20,16,14,5,5,4,4,1,12,25,32,4,8,2,10,13,4,6,12,11,7,33,9,9,9,12,3,8,7,8,2
"TSEN34",2,1,0,1,0,1,2,1,4,0,6,4,2,0,4,1,0,3,1,1,0,2,3,2,5,3,4,7,3,5,6,2,2,3,6,3,0,1,5,2,2,0,3,3,3,3,5,1,2,1,0,2,7,18,4,2,5,5,5,0,2,4,6,9,13,4,3,4,1,4,9,4,9,1,6,3,4,8,1,9,3,3,3,12,4,3,3,3,1,6,1,4,3
"SLC38A1",8,1,0,2,5,3,8,3,3,1,5,16,5,1,9,1,3,5,5,1,1,2,6,2,16,9,26,2,6,44,21,4,1,1,12,10,1,5,9,4,3,5,14,4,10,11,8,8,7,10,2,6,17,20,5,3,10,14,4,8,2,9,25,7,4,7,8,2,3,2,22,24,84,1,5,9,8,46,1,4,8,5,31,38,5,4,9,11,5,8,17,7,3
"NFKB2",4,4,7,5,6,9,8,4,2,10,9,3,1,31,17,1,3,5,3,7,3,3,6,8,33,79,33,8,24,26,23,9,4,21,14,12,6,8,299,3,11,4,16,44,8,8,9,21,21,10,11,8,16,106,18,6,25,13,6,6,9,20,32,117,4,12,5,11,6,2,10,9,63,4,5,15,7,53,2,78,44,3,21,8,326,7,6,15,11,9,5,17,8
"FAM222B",3,2,1,1,0,2,1,0,0,0,1,2,0,0,2,0,2,1,0,0,4,1,4,1,4,6,9,0,6,11,12,1,3,2,12,1,2,3,4,1,1,4,4,0,2,1,5,4,2,4,0,4,8,9,5,4,6,1,6,1,1,7,9,5,1,7,3,1,1,3,7,4,11,1,3,8,9,15,4,5,4,1,8,6,6,8,18,5,1,5,3,0,0
"SLC39A7",0,4,0,0,1,2,2,1,2,0,3,5,1,1,1,1,3,1,1,0,1,0,4,1,10,1,12,1,8,12,7,1,0,3,3,5,1,0,3,1,3,3,10,1,4,7,3,9,1,2,1,3,3,23,10,1,11,11,7,1,1,6,19,10,4,3,1,4,2,0,5,8,45,3,5,1,5,16,4,4,7,0,10,12,4,1,7,3,3,9,5,2,1
"UBXN2B",4,3,1,4,1,0,0,1,1,1,2,31,1,1,0,0,0,2,1,2,1,0,0,0,7,2,6,5,2,8,6,1,0,3,2,7,1,2,0,6,1,6,6,0,3,4,3,8,0,1,1,3,9,13,2,1,2,8,0,2,4,2,13,6,5,3,1,3,2,2,5,4,25,2,5,1,6,6,4,117,4,7,8,9,10,3,4,2,4,2,2,3,0
"APH1A",6,8,0,2,1,2,6,1,2,3,5,10,2,2,4,4,2,1,2,1,2,4,11,3,13,3,12,9,6,16,20,0,2,1,9,2,0,4,3,3,4,1,13,2,5,10,5,10,3,4,2,3,29,26,9,3,10,16,8,5,2,5,30,18,7,5,5,10,5,6,25,12,37,2,4,0,7,12,1,14,7,4,8,29,8,3,9,7,8,11,6,8,1
"TNFAIP8",1,3,0,3,1,0,1,25,1,0,2,3,0,11,1,1,2,3,1,0,1,1,0,9,7,2,1,2,2,4,2,3,1,3,2,1,1,1,6,1,4,4,3,1,4,2,2,9,2,1,5,4,4,12,8,1,4,2,4,2,6,5,4,8,6,6,7,4,1,8,5,4,9,1,4,2,36,8,6,5,6,2,3,5,3,4,3,3,0,6,2,2,1
"MIER1",3,0,1,0,1,2,2,2,2,0,3,2,0,2,2,1,1,4,0,0,0,1,4,5,2,5,6,4,6,7,20,3,2,0,2,4,2,2,6,2,4,2,8,2,13,5,5,11,4,5,6,6,2,16,8,3,7,8,4,4,6,4,4,12,4,7,4,5,7,2,10,12,22,1,9,1,4,5,4,4,6,3,5,34,3,6,6,4,2,10,6,4,2
"RTL8C",7,16,8,2,7,6,7,4,12,6,5,15,2,1,14,7,6,4,7,4,4,5,2,5,12,12,26,5,18,17,33,7,2,16,21,9,6,3,4,12,9,6,17,3,10,19,9,7,6,6,6,10,30,33,12,9,8,26,16,16,4,6,33,13,19,15,7,10,6,13,28,35,87,4,24,8,28,50,7,20,10,7,24,40,24,12,16,16,18,17,28,17,5
"RTL8A",2,3,1,0,1,1,4,2,2,0,3,4,2,1,7,2,3,1,0,2,2,0,3,4,6,4,6,1,6,8,26,1,0,1,10,5,3,1,1,4,4,1,4,1,1,7,4,3,1,3,0,4,6,9,2,1,1,3,4,6,3,0,9,5,5,6,1,3,2,1,3,10,41,2,4,4,2,18,3,4,7,3,5,7,1,4,1,3,5,5,11,3,1
"KTN1",2,4,1,4,1,3,9,3,5,1,4,8,2,2,0,3,0,3,4,2,3,1,4,2,10,4,14,10,4,12,27,0,2,5,8,7,1,4,4,6,9,3,21,2,16,7,3,10,8,4,2,6,17,49,13,3,12,11,6,6,6,8,34,18,13,11,8,3,9,10,20,23,56,4,9,3,14,32,7,6,8,8,19,34,20,9,9,16,4,19,10,10,4
"HNRNPUL2",2,4,2,4,7,4,3,0,3,0,4,4,1,3,5,1,5,6,1,1,2,0,4,2,11,7,15,8,3,14,31,2,0,2,16,6,6,4,10,5,11,3,5,3,5,13,12,17,3,2,2,5,11,19,14,4,12,6,7,2,3,3,15,18,8,10,6,8,2,10,6,8,31,3,14,2,8,15,4,6,6,2,12,13,7,5,8,14,2,6,10,3,2
"FNDC3A",1,1,3,1,2,1,1,1,1,0,1,5,0,3,3,4,2,1,1,1,2,1,1,4,6,2,8,2,6,5,9,2,2,1,3,8,1,0,3,3,2,1,5,0,3,3,4,8,2,1,2,3,4,10,16,6,10,1,3,4,3,3,8,12,1,2,2,4,6,3,6,4,11,2,6,5,7,6,1,4,7,3,5,5,6,4,3,3,7,7,7,6,0
